#{"t_start": 1765984810.0664325, "env_id": "None"}
r,l,t
29.91407,199,1.892639
-2.397487,199,2.287772
40.667839,199,2.680248
51.723116,199,3.020659
40.31608,199,3.369364
66.346231,199,3.714846
57.853769,199,4.055043
106.999497,199,4.615694
28.607538,199,5.030774
29.713065,199,5.455345
122.627638,199,12.462493
-1.090955,199,12.811775
109.260804,199,13.155369
89.411558,199,13.483474
122.577387,199,13.806086
103.532161,199,14.132138
22.728141,199,14.465445
111.120101,199,14.794963
-8.226633,199,15.122708
73.582412,199,15.458941
53.381407,199,21.944342
51.873869,199,22.306422
97.602513,199,22.639951
114.637688,199,22.978888
122.627638,199,23.312231
95.190452,199,23.633397
70.416583,199,23.979983
129.713065,199,24.333335
113.230653,199,24.673561
113.582412,199,25.028519
144.135176,199,31.482776
142.677889,199,31.890212
138.607538,199,32.314075
173.88392,199,32.677883
171.371357,199,33.019568
150.265829,199,33.363045
164.386432,199,33.712591
163.733166,199,34.041084
159.160302,199,34.391051
92.627638,199,34.810847
140.768342,199,35.149157
171.270854,199,41.522007
122.728141,199,41.853734
135.793467,199,42.200898
186.748241,199,42.533948
180.31608,199,42.924334
160.265829,199,43.311689
199.411558,199,43.656248
134.436683,199,44.005562
165.642714,199,44.359134
181.270854,199,44.771919
195.441709,199,51.758976
146.848744,199,52.111951
230.919095,199,52.476561
191.773367,199,52.83867
209.863819,199,53.178618
155.190452,199,53.512787
179.260804,199,53.861408
217.954271,199,54.237063
163.88392,199,54.573926
167.401508,199,54.92999
149.863819,199,63.056383
242.476884,199,63.397425
183.88392,199,63.726035
209.91407,199,64.071483
232.476884,199,64.406931
243.984422,199,64.727757
233.431658,199,65.038192
226.949246,199,65.392339
220.466834,199,65.705072
190.868844,199,66.014384
199.461809,199,66.349112
265.49196,199,73.135774
232.979397,199,73.505849
238.507035,199,73.842472
236.999497,199,74.202504
225.994472,199,74.545777
254.486935,199,74.868089
194.989447,199,75.195258
194.989447,199,75.519965
202.979397,199,75.827326
203.431658,199,76.147645
210.416583,199,83.772945
244.537186,199,84.14313
267.50201,199,84.491037
264.034673,199,84.861331
263.532161,199,85.225924
241.522111,199,85.591076
231.019598,199,86.031682
209.51206,199,86.392029
223.48191,199,86.771385
260.014573,199,87.20047
225.441709,199,93.893239
260.466834,199,94.226415
251.522111,199,94.55325
250.517085,199,94.893423
256.999497,199,95.238799
215.039698,199,95.558657
261.522111,199,95.904903
271.019598,199,96.26886
258.507035,199,96.668234
243.984422,199,97.014361
245.039698,199,103.875038
256.044724,199,104.221323
260.014573,199,104.541615
261.522111,199,104.862974
242.527136,199,105.174704
261.522111,199,105.51293
279.009548,199,105.824688
242.476884,199,106.135623
265.039698,199,106.453568
250.014573,199,106.776335
252.024623,199,107.095302
261.522111,199,113.692352
281.522111,199,114.022939
258.004523,199,114.382324
255.542211,199,114.708964
255.994472,199,115.030613
270.014573,199,115.379191
225.49196,199,115.70908
270.517085,199,116.046083
265.994472,199,116.597336
236.999497,199,116.932966
280.014573,199,123.623266
273.532161,199,124.013442
265.49196,199,124.444811
261.522111,199,124.841882
272.024623,199,125.20085
259.51206,199,125.641
265.542211,199,126.205974
258.507035,199,126.814185
245.542211,199,127.25367
275.542211,199,127.689378
263.532161,199,138.30241
258.004523,199,139.030722
244.537186,199,139.616386
273.029648,199,140.213948
251.019598,199,140.847602
254.034673,199,141.587286
266.044724,199,142.301863
239.964322,199,142.896437
245.542211,199,143.534147
242.024623,199,144.218405
266.044724,199,144.822935
246.999497,199,152.027071
250.517085,199,152.362027
261.019598,199,152.695462
250.014573,199,153.056263
281.522111,199,153.415926
255.994472,199,153.7513
225.994472,199,154.123864
285.542211,199,154.482629
252.979397,199,154.82508
264.537186,199,155.181366
265.542211,199,161.943667
273.532161,199,162.315361
273.029648,199,162.673653
262.476884,199,163.050432
276.496985,199,163.443752
258.004523,199,163.866068
240.919095,199,164.248159
271.522111,199,164.587666
252.979397,199,164.926141
245.441709,199,165.26261
273.029648,199,172.133637
271.019598,199,172.521711
281.019598,199,173.000056
265.994472,199,173.466508
275.49196,199,173.848362
274.537186,199,174.250875
263.532161,199,174.668007
261.522111,199,175.023582
240.466834,199,175.395959
262.426633,199,175.782207
251.974372,199,182.61557
254.989447,199,182.970308
236.446734,199,183.313577
243.934171,199,183.653919
260.969347,199,183.996997
241.471859,199,184.332966
259.51206,199,184.682268
270.517085,199,185.0246
280.517085,199,185.356595
224.989447,199,185.699391
249.461809,199,186.033664
285.542211,199,192.948909
275.542211,199,193.304476
272.024623,199,193.617953
270.517085,199,193.986317
240.014573,199,194.333479
284.034673,199,194.652402
266.496985,199,194.99518
276.999497,199,195.324434
286.547236,199,195.633266
276.496985,199,195.971784
273.48191,199,202.890035
270.014573,199,203.410135
280.517085,199,203.887527
259.51206,199,204.262097
261.522111,199,204.606803
279.009548,199,204.9393
280.014573,199,205.310577
273.984422,199,205.652943
280.014573,199,205.99103
287.552261,199,206.32391
254.486935,199,212.873867
250.416583,199,213.213547
239.461809,199,213.5448
258.004523,199,213.876151
274.486935,199,214.212134
265.039698,199,214.536614
273.029648,199,214.968864
262.979397,199,215.305085
271.019598,199,215.633795
222.878894,199,215.965975
277.50201,199,216.335934
279.009548,199,223.740898
274.486935,199,224.118668
279.51206,199,224.522621
266.999497,199,224.872375
255.49196,199,225.224034
284.034673,199,225.579401
277.50201,199,226.01549
278.507035,199,226.411207
264.537186,199,226.979613
269.461809,199,227.412776
266.496985,199,236.46767
